state,measure_id,measure_name,number_of_hospitals_worse,number_of_hospitals_same,number_of_hospitals_better,number_of_hospitals_too_few,footnote,start_date,end_date
LA,PSI_04,Death rate among surgical inpatients with serious treatable complications,0,22,0,27,,07/01/2022,06/30/2024
LA,PSI_06,Iatrogenic pneumothorax rate,0,86,0,1,,07/01/2022,06/30/2024
LA,PSI_08,In-hospital fall-associated fracture rate,0,86,0,1,,07/01/2022,06/30/2024
LA,PSI_09,Postoperative hemorrhage or hematoma rate,0,68,0,9,,07/01/2022,06/30/2024
LA,PSI_10,Postoperative acute kidney injury requiring dialysis rate,0,57,0,11,,07/01/2022,06/30/2024
LA,PSI_11,Postoperative respiratory failure rate,1,57,0,12,,07/01/2022,06/30/2024
LA,PSI_12,Perioperative pulmonary embolism or deep vein thrombosis rate,1,67,0,9,,07/01/2022,06/30/2024
LA,PSI_13,Postoperative sepsis rate,0,54,0,11,,07/01/2022,06/30/2024
LA,PSI_14,Postoperative wound dehiscence rate,0,53,0,16,,07/01/2022,06/30/2024
LA,PSI_15,Abdominopelvic accidental puncture or laceration rate,0,65,0,16,,07/01/2022,06/30/2024
LA,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,4,70,0,Not Available,,07/01/2022,06/30/2024
MA,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,0,46,0,7,,04/01/2023,03/31/2025
MA,Hybrid_HWM,Hybrid Hospital-Wide All-Cause Risk Standardized Mortality Rate,0,49,11,0,,07/01/2024,06/30/2025
MA,MORT_30_AMI,Death rate for heart attack patients,0,44,0,13,,07/01/2022,06/30/2025
MA,MORT_30_CABG,Death rate for CABG surgery patients,0,13,0,2,,07/01/2022,06/30/2025
MA,MORT_30_COPD,Death rate for COPD patients,0,52,0,6,,07/01/2022,06/30/2025
MA,MORT_30_HF,Death rate for heart failure patients,0,50,5,3,,07/01/2022,06/30/2025
MA,MORT_30_PN,Death rate for pneumonia patients,0,52,5,0,,07/01/2022,06/30/2025
MA,MORT_30_STK,Death rate for stroke patients,0,47,1,8,,07/01/2023,06/30/2025
MA,PSI_03,Pressure ulcer rate,5,49,0,0,,07/01/2022,06/30/2024
MA,PSI_04,Death rate among surgical inpatients with serious treatable complications,2,30,0,16,,07/01/2022,06/30/2024
MA,PSI_06,Iatrogenic pneumothorax rate,0,54,0,0,,07/01/2022,06/30/2024
MA,PSI_08,In-hospital fall-associated fracture rate,2,52,0,0,,07/01/2022,06/30/2024
MA,PSI_09,Postoperative hemorrhage or hematoma rate,3,48,1,1,,07/01/2022,06/30/2024
MA,PSI_10,Postoperative acute kidney injury requiring dialysis rate,0,47,0,5,,07/01/2022,06/30/2024
MA,PSI_11,Postoperative respiratory failure rate,0,45,1,6,,07/01/2022,06/30/2024
MA,PSI_12,Perioperative pulmonary embolism or deep vein thrombosis rate,3,49,0,1,,07/01/2022,06/30/2024
MA,PSI_13,Postoperative sepsis rate,1,46,0,5,,07/01/2022,06/30/2024
MA,PSI_14,Postoperative wound dehiscence rate,1,45,0,6,,07/01/2022,06/30/2024
MA,PSI_15,Abdominopelvic accidental puncture or laceration rate,1,51,0,1,,07/01/2022,06/30/2024
MA,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,3,48,1,Not Available,,07/01/2022,06/30/2024
MD,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,0,27,0,14,,04/01/2023,03/31/2025
MD,Hybrid_HWM,Hybrid Hospital-Wide All-Cause Risk Standardized Mortality Rate,0,32,12,0,,07/01/2024,06/30/2025
MD,MORT_30_AMI,Death rate for heart attack patients,0,37,0,5,,07/01/2022,06/30/2025
MD,MORT_30_CABG,Death rate for CABG surgery patients,0,11,0,2,,07/01/2022,06/30/2025
MD,MORT_30_COPD,Death rate for COPD patients,0,42,1,1,,07/01/2022,06/30/2025
MD,MORT_30_HF,Death rate for heart failure patients,1,42,0,2,,07/01/2022,06/30/2025
MD,MORT_30_PN,Death rate for pneumonia patients,0,42,1,1,,07/01/2022,06/30/2025
MD,MORT_30_STK,Death rate for stroke patients,0,41,0,3,,07/01/2023,06/30/2025
MD,PSI_03,Pressure ulcer rate,8,37,0,0,,07/01/2022,06/30/2024
MD,PSI_04,Death rate among surgical inpatients with serious treatable complications,0,33,0,9,,07/01/2022,06/30/2024
MD,PSI_06,Iatrogenic pneumothorax rate,2,43,0,0,,07/01/2022,06/30/2024
MD,PSI_08,In-hospital fall-associated fracture rate,0,45,0,0,,07/01/2022,06/30/2024
MD,PSI_09,Postoperative hemorrhage or hematoma rate,1,42,0,0,,07/01/2022,06/30/2024
MD,PSI_10,Postoperative acute kidney injury requiring dialysis rate,0,42,0,1,,07/01/2022,06/30/2024
MD,PSI_11,Postoperative respiratory failure rate,2,40,0,1,,07/01/2022,06/30/2024
MD,PSI_12,Perioperative pulmonary embolism or deep vein thrombosis rate,1,42,0,0,,07/01/2022,06/30/2024
MD,PSI_13,Postoperative sepsis rate,0,42,0,1,,07/01/2022,06/30/2024
MD,PSI_14,Postoperative wound dehiscence rate,1,40,0,1,,07/01/2022,06/30/2024
MD,PSI_15,Abdominopelvic accidental puncture or laceration rate,1,41,0,1,,07/01/2022,06/30/2024
MD,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,6,36,1,Not Available,,07/01/2022,06/30/2024
ME,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,0,9,0,17,,04/01/2023,03/31/2025
ME,Hybrid_HWM,Hybrid Hospital-Wide All-Cause Risk Standardized Mortality Rate,3,29,1,0,,07/01/2024,06/30/2025
ME,MORT_30_AMI,Death rate for heart attack patients,0,13,0,21,,07/01/2022,06/30/2025
ME,MORT_30_CABG,Death rate for CABG surgery patients,0,3,0,0,,07/01/2022,06/30/2025
ME,MORT_30_COPD,Death rate for COPD patients,0,21,0,14,,07/01/2022,06/30/2025
ME,MORT_30_HF,Death rate for heart failure patients,0,23,0,12,,07/01/2022,06/30/2025
ME,MORT_30_PN,Death rate for pneumonia patients,0,32,0,3,,07/01/2022,06/30/2025
ME,MORT_30_STK,Death rate for stroke patients,0,22,0,12,,07/01/2023,06/30/2025
ME,PSI_03,Pressure ulcer rate,0,17,0,0,,07/01/2022,06/30/2024
ME,PSI_04,Death rate among surgical inpatients with serious treatable complications,0,3,0,12,,07/01/2022,06/30/2024
ME,PSI_06,Iatrogenic pneumothorax rate,0,17,0,0,,07/01/2022,06/30/2024
ME,PSI_08,In-hospital fall-associated fracture rate,0,17,0,0,,07/01/2022,06/30/2024
ME,PSI_09,Postoperative hemorrhage or hematoma rate,1,16,0,0,,07/01/2022,06/30/2024
ME,PSI_10,Postoperative acute kidney injury requiring dialysis rate,0,13,0,4,,07/01/2022,06/30/2024
ME,PSI_11,Postoperative respiratory failure rate,0,13,0,4,,07/01/2022,06/30/2024
ME,PSI_12,Perioperative pulmonary embolism or deep vein thrombosis rate,0,17,0,0,,07/01/2022,06/30/2024
ME,PSI_13,Postoperative sepsis rate,0,13,0,4,,07/01/2022,06/30/2024
ME,PSI_14,Postoperative wound dehiscence rate,0,15,0,2,,07/01/2022,06/30/2024
ME,PSI_15,Abdominopelvic accidental puncture or laceration rate,0,17,0,0,,07/01/2022,06/30/2024
ME,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,0,17,0,Not Available,,07/01/2022,06/30/2024
MI,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,0,49,0,44,,04/01/2023,03/31/2025
MI,Hybrid_HWM,Hybrid Hospital-Wide All-Cause Risk Standardized Mortality Rate,5,106,8,9,,07/01/2024,06/30/2025
MI,MORT_30_AMI,Death rate for heart attack patients,0,54,0,54,,07/01/2022,06/30/2025
MI,MORT_30_CABG,Death rate for CABG surgery patients,0,29,0,5,,07/01/2022,06/30/2025
MI,MORT_30_COPD,Death rate for COPD patients,0,84,0,38,,07/01/2022,06/30/2025
MI,MORT_30_HF,Death rate for heart failure patients,0,97,1,23,,07/01/2022,06/30/2025
MI,MORT_30_PN,Death rate for pneumonia patients,0,102,2,19,,07/01/2022,06/30/2025
MI,MORT_30_STK,Death rate for stroke patients,0,77,0,32,,07/01/2023,06/30/2025
MI,PSI_03,Pressure ulcer rate,2,89,0,2,,07/01/2022,06/30/2024
MI,PSI_04,Death rate among surgical inpatients with serious treatable complications,2,44,1,27,,07/01/2022,06/30/2024
MI,PSI_06,Iatrogenic pneumothorax rate,0,93,0,2,,07/01/2022,06/30/2024
MI,PSI_08,In-hospital fall-associated fracture rate,0,93,0,2,,07/01/2022,06/30/2024
MI,PSI_09,Postoperative hemorrhage or hematoma rate,2,82,0,4,,07/01/2022,06/30/2024
MI,PSI_10,Postoperative acute kidney injury requiring dialysis rate,0,74,0,11,,07/01/2022,06/30/2024
MI,PSI_11,Postoperative respiratory failure rate,1,72,1,11,,07/01/2022,06/30/2024
MI,PSI_12,Perioperative pulmonary embolism or deep vein thrombosis rate,1,83,0,4,,07/01/2022,06/30/2024
MI,PSI_13,Postoperative sepsis rate,2,71,1,10,,07/01/2022,06/30/2024
MI,PSI_14,Postoperative wound dehiscence rate,0,73,0,12,,07/01/2022,06/30/2024
MI,PSI_15,Abdominopelvic accidental puncture or laceration rate,1,81,0,6,,07/01/2022,06/30/2024
MI,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,3,81,1,Not Available,,07/01/2022,06/30/2024
MN,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,0,43,0,35,,04/01/2023,03/31/2025
MN,Hybrid_HWM,Hybrid Hospital-Wide All-Cause Risk Standardized Mortality Rate,0,103,15,4,,07/01/2024,06/30/2025
MN,MORT_30_AMI,Death rate for heart attack patients,0,21,0,72,,07/01/2022,06/30/2025
MN,MORT_30_CABG,Death rate for CABG surgery patients,0,13,0,1,,07/01/2022,06/30/2025
MN,MORT_30_COPD,Death rate for COPD patients,0,32,0,87,,07/01/2022,06/30/2025
MN,MORT_30_HF,Death rate for heart failure patients,0,57,0,66,,07/01/2022,06/30/2025
MN,MORT_30_PN,Death rate for pneumonia patients,0,74,2,48,,07/01/2022,06/30/2025
MN,MORT_30_STK,Death rate for stroke patients,0,42,0,67,,07/01/2023,06/30/2025
MN,PSI_03,Pressure ulcer rate,2,42,2,2,,07/01/2022,06/30/2024
MN,PSI_04,Death rate among surgical inpatients with serious treatable complications,0,17,1,16,,07/01/2022,06/30/2024
MN,PSI_06,Iatrogenic pneumothorax rate,0,47,0,1,,07/01/2022,06/30/2024
MN,PSI_08,In-hospital fall-associated fracture rate,1,46,0,1,,07/01/2022,06/30/2024
MN,PSI_09,Postoperative hemorrhage or hematoma rate,1,43,0,2,,07/01/2022,06/30/2024
MN,PSI_10,Postoperative acute kidney injury requiring dialysis rate,0,40,0,6,,07/01/2022,06/30/2024
MN,PSI_11,Postoperative respiratory failure rate,0,38,1,7,,07/01/2022,06/30/2024
MN,PSI_12,Perioperative pulmonary embolism or deep vein thrombosis rate,0,46,0,1,,07/01/2022,06/30/2024
MN,PSI_13,Postoperative sepsis rate,0,36,1,9,,07/01/2022,06/30/2024
MN,PSI_14,Postoperative wound dehiscence rate,1,31,0,14,,07/01/2022,06/30/2024
MN,PSI_15,Abdominopelvic accidental puncture or laceration rate,0,43,0,3,,07/01/2022,06/30/2024
MN,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,0,45,1,Not Available,,07/01/2022,06/30/2024
MO,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,0,38,0,31,,04/01/2023,03/31/2025
MO,Hybrid_HWM,Hybrid Hospital-Wide All-Cause Risk Standardized Mortality Rate,5,83,14,0,,07/01/2024,06/30/2025
MO,MORT_30_AMI,Death rate for heart attack patients,0,49,0,37,,07/01/2022,06/30/2025
MO,MORT_30_CABG,Death rate for CABG surgery patients,0,23,0,4,,07/01/2022,06/30/2025
MO,MORT_30_COPD,Death rate for COPD patients,0,65,0,38,,07/01/2022,06/30/2025
MO,MORT_30_HF,Death rate for heart failure patients,0,72,0,32,,07/01/2022,06/30/2025
MO,MORT_30_PN,Death rate for pneumonia patients,3,89,3,9,,07/01/2022,06/30/2025
MO,MORT_30_STK,Death rate for stroke patients,0,55,0,35,,07/01/2023,06/30/2025
MO,PSI_03,Pressure ulcer rate,3,66,1,0,,07/01/2022,06/30/2024
MO,PSI_04,Death rate among surgical inpatients with serious treatable complications,1,38,0,22,,07/01/2022,06/30/2024
MO,PSI_06,Iatrogenic pneumothorax rate,0,70,0,0,,07/01/2022,06/30/2024
MO,PSI_08,In-hospital fall-associated fracture rate,0,70,0,0,,07/01/2022,06/30/2024
MO,PSI_09,Postoperative hemorrhage or hematoma rate,0,63,0,5,,07/01/2022,06/30/2024
MO,PSI_10,Postoperative acute kidney injury requiring dialysis rate,0,58,0,8,,07/01/2022,06/30/2024
MO,PSI_11,Postoperative respiratory failure rate,2,57,0,7,,07/01/2022,06/30/2024
MO,PSI_12,Perioperative pulmonary embolism or deep vein thrombosis rate,2,62,0,4,,07/01/2022,06/30/2024
MO,PSI_13,Postoperative sepsis rate,1,56,0,8,,07/01/2022,06/30/2024
MO,PSI_14,Postoperative wound dehiscence rate,0,57,0,11,,07/01/2022,06/30/2024
MO,PSI_15,Abdominopelvic accidental puncture or laceration rate,0,63,0,6,,07/01/2022,06/30/2024
MO,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,1,66,1,Not Available,,07/01/2022,06/30/2024
MP,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,Not Available,Not Available,Not Available,Not Available,5.0,04/01/2023,03/31/2025
MP,Hybrid_HWM,Hybrid Hospital-Wide All-Cause Risk Standardized Mortality Rate,Not Available,Not Available,Not Available,Not Available,5.0,07/01/2024,06/30/2025
MP,MORT_30_AMI,Death rate for heart attack patients,Not Available,Not Available,Not Available,Not Available,5.0,07/01/2022,06/30/2025
MP,MORT_30_CABG,Death rate for CABG surgery patients,Not Available,Not Available,Not Available,Not Available,5.0,07/01/2022,06/30/2025
MP,MORT_30_COPD,Death rate for COPD patients,Not Available,Not Available,Not Available,Not Available,5.0,07/01/2022,06/30/2025
MP,MORT_30_HF,Death rate for heart failure patients,Not Available,Not Available,Not Available,Not Available,5.0,07/01/2022,06/30/2025
MP,MORT_30_PN,Death rate for pneumonia patients,Not Available,Not Available,Not Available,Not Available,5.0,07/01/2022,06/30/2025
MP,MORT_30_STK,Death rate for stroke patients,Not Available,Not Available,Not Available,Not Available,5.0,07/01/2023,06/30/2025
MP,PSI_03,Pressure ulcer rate,Not Available,Not Available,Not Available,Not Available,5.0,07/01/2022,06/30/2024
MP,PSI_04,Death rate among surgical inpatients with serious treatable complications,Not Available,Not Available,Not Available,Not Available,5.0,07/01/2022,06/30/2024
MP,PSI_06,Iatrogenic pneumothorax rate,Not Available,Not Available,Not Available,Not Available,5.0,07/01/2022,06/30/2024
MP,PSI_08,In-hospital fall-associated fracture rate,Not Available,Not Available,Not Available,Not Available,5.0,07/01/2022,06/30/2024
MP,PSI_09,Postoperative hemorrhage or hematoma rate,Not Available,Not Available,Not Available,Not Available,5.0,07/01/2022,06/30/2024
MP,PSI_10,Postoperative acute kidney injury requiring dialysis rate,Not Available,Not Available,Not Available,Not Available,5.0,07/01/2022,06/30/2024
MP,PSI_11,Postoperative respiratory failure rate,Not Available,Not Available,Not Available,Not Available,5.0,07/01/2022,06/30/2024
MP,PSI_12,Perioperative pulmonary embolism or deep vein thrombosis rate,Not Available,Not Available,Not Available,Not Available,5.0,07/01/2022,06/30/2024
MP,PSI_13,Postoperative sepsis rate,Not Available,Not Available,Not Available,Not Available,5.0,07/01/2022,06/30/2024
MP,PSI_14,Postoperative wound dehiscence rate,Not Available,Not Available,Not Available,Not Available,5.0,07/01/2022,06/30/2024
MP,PSI_15,Abdominopelvic accidental puncture or laceration rate,Not Available,Not Available,Not Available,Not Available,5.0,07/01/2022,06/30/2024
MP,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,Not Available,Not Available,Not Available,Not Available,5.0,07/01/2022,06/30/2024
MS,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,0,16,0,12,,04/01/2023,03/31/2025
MS,Hybrid_HWM,Hybrid Hospital-Wide All-Cause Risk Standardized Mortality Rate,17,61,1,7,,07/01/2024,06/30/2025
MS,MORT_30_AMI,Death rate for heart attack patients,1,22,0,31,,07/01/2022,06/30/2025
MS,MORT_30_CABG,Death rate for CABG surgery patients,0,14,0,2,,07/01/2022,06/30/2025
MS,MORT_30_COPD,Death rate for COPD patients,2,34,0,50,,07/01/2022,06/30/2025
MS,MORT_30_HF,Death rate for heart failure patients,0,47,0,41,,07/01/2022,06/30/2025
MS,MORT_30_PN,Death rate for pneumonia patients,3,66,0,22,,07/01/2022,06/30/2025
MS,MORT_30_STK,Death rate for stroke patients,0,27,0,40,,07/01/2023,06/30/2025
MS,PSI_03,Pressure ulcer rate,3,55,0,4,,07/01/2022,06/30/2024
MS,PSI_04,Death rate among surgical inpatients with serious treatable complications,1,17,0,16,,07/01/2022,06/30/2024
MS,PSI_06,Iatrogenic pneumothorax rate,1,58,0,3,,07/01/2022,06/30/2024
MS,PSI_08,In-hospital fall-associated fracture rate,0,59,0,3,,07/01/2022,06/30/2024
MS,PSI_09,Postoperative hemorrhage or hematoma rate,1,41,0,3,,07/01/2022,06/30/2024
MS,PSI_10,Postoperative acute kidney injury requiring dialysis rate,0,33,0,10,,07/01/2022,06/30/2024
MS,PSI_11,Postoperative respiratory failure rate,0,33,0,10,,07/01/2022,06/30/2024
MS,PSI_12,Perioperative pulmonary embolism or deep vein thrombosis rate,4,38,0,3,,07/01/2022,06/30/2024
MS,PSI_13,Postoperative sepsis rate,1,30,0,11,,07/01/2022,06/30/2024
MS,PSI_14,Postoperative wound dehiscence rate,0,34,0,8,,07/01/2022,06/30/2024
MS,PSI_15,Abdominopelvic accidental puncture or laceration rate,0,40,0,3,,07/01/2022,06/30/2024
MS,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,4,39,0,Not Available,,07/01/2022,06/30/2024
MT,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,0,10,0,15,,04/01/2023,03/31/2025
MT,Hybrid_HWM,Hybrid Hospital-Wide All-Cause Risk Standardized Mortality Rate,2,36,1,22,,07/01/2024,06/30/2025
MT,MORT_30_AMI,Death rate for heart attack patients,0,10,0,24,,07/01/2022,06/30/2025
MT,MORT_30_CABG,Death rate for CABG surgery patients,0,6,0,0,,07/01/2022,06/30/2025
MT,MORT_30_COPD,Death rate for COPD patients,0,16,0,38,,07/01/2022,06/30/2025
MT,MORT_30_HF,Death rate for heart failure patients,0,20,0,39,,07/01/2022,06/30/2025
MT,MORT_30_PN,Death rate for pneumonia patients,1,26,0,33,,07/01/2022,06/30/2025
MT,MORT_30_STK,Death rate for stroke patients,0,11,0,32,,07/01/2023,06/30/2025
MT,PSI_03,Pressure ulcer rate,1,11,0,0,,07/01/2022,06/30/2024
MT,PSI_04,Death rate among surgical inpatients with serious treatable complications,0,8,0,2,,07/01/2022,06/30/2024
MT,PSI_06,Iatrogenic pneumothorax rate,0,12,0,0,,07/01/2022,06/30/2024
MT,PSI_08,In-hospital fall-associated fracture rate,0,12,0,0,,07/01/2022,06/30/2024
MT,PSI_09,Postoperative hemorrhage or hematoma rate,0,11,0,0,,07/01/2022,06/30/2024
MT,PSI_10,Postoperative acute kidney injury requiring dialysis rate,0,11,0,0,,07/01/2022,06/30/2024
MT,PSI_11,Postoperative respiratory failure rate,1,9,1,0,,07/01/2022,06/30/2024
MT,PSI_12,Perioperative pulmonary embolism or deep vein thrombosis rate,0,11,0,0,,07/01/2022,06/30/2024
MT,PSI_13,Postoperative sepsis rate,0,10,0,1,,07/01/2022,06/30/2024
MT,PSI_14,Postoperative wound dehiscence rate,0,10,0,0,,07/01/2022,06/30/2024
MT,PSI_15,Abdominopelvic accidental puncture or laceration rate,1,10,0,0,,07/01/2022,06/30/2024
MT,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,3,7,1,Not Available,,07/01/2022,06/30/2024
NC,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,0,53,0,33,,04/01/2023,03/31/2025
NC,Hybrid_HWM,Hybrid Hospital-Wide All-Cause Risk Standardized Mortality Rate,11,80,11,2,,07/01/2024,06/30/2025
NC,MORT_30_AMI,Death rate for heart attack patients,0,54,0,40,,07/01/2022,06/30/2025
NC,MORT_30_CABG,Death rate for CABG surgery patients,0,19,0,5,,07/01/2022,06/30/2025
NC,MORT_30_COPD,Death rate for COPD patients,0,84,0,20,,07/01/2022,06/30/2025
NC,MORT_30_HF,Death rate for heart failure patients,1,91,1,11,,07/01/2022,06/30/2025
NC,MORT_30_PN,Death rate for pneumonia patients,1,99,1,4,,07/01/2022,06/30/2025
NC,MORT_30_STK,Death rate for stroke patients,0,81,1,15,,07/01/2023,06/30/2025
NC,PSI_03,Pressure ulcer rate,6,80,2,0,,07/01/2022,06/30/2024
NC,PSI_04,Death rate among surgical inpatients with serious treatable complications,4,35,0,33,,07/01/2022,06/30/2024
NC,PSI_06,Iatrogenic pneumothorax rate,0,88,0,0,,07/01/2022,06/30/2024
NC,PSI_08,In-hospital fall-associated fracture rate,0,88,0,0,,07/01/2022,06/30/2024
NC,PSI_09,Postoperative hemorrhage or hematoma rate,0,82,0,2,,07/01/2022,06/30/2024
NC,PSI_10,Postoperative acute kidney injury requiring dialysis rate,1,63,0,18,,07/01/2022,06/30/2024
NC,PSI_11,Postoperative respiratory failure rate,2,63,1,16,,07/01/2022,06/30/2024
NC,PSI_12,Perioperative pulmonary embolism or deep vein thrombosis rate,1,80,1,2,,07/01/2022,06/30/2024
NC,PSI_13,Postoperative sepsis rate,0,60,2,17,,07/01/2022,06/30/2024
NC,PSI_14,Postoperative wound dehiscence rate,0,72,0,9,,07/01/2022,06/30/2024
NC,PSI_15,Abdominopelvic accidental puncture or laceration rate,0,79,0,4,,07/01/2022,06/30/2024
NC,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,1,81,2,Not Available,,07/01/2022,06/30/2024
ND,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,0,6,0,5,,04/01/2023,03/31/2025
ND,Hybrid_HWM,Hybrid Hospital-Wide All-Cause Risk Standardized Mortality Rate,1,34,2,8,,07/01/2024,06/30/2025
ND,MORT_30_AMI,Death rate for heart attack patients,0,6,0,26,,07/01/2022,06/30/2025
ND,MORT_30_CABG,Death rate for CABG surgery patients,0,6,0,0,,07/01/2022,06/30/2025
ND,MORT_30_COPD,Death rate for COPD patients,0,10,0,30,,07/01/2022,06/30/2025
ND,MORT_30_HF,Death rate for heart failure patients,0,15,0,29,,07/01/2022,06/30/2025
ND,MORT_30_PN,Death rate for pneumonia patients,0,25,1,18,,07/01/2022,06/30/2025
ND,MORT_30_STK,Death rate for stroke patients,0,6,0,22,,07/01/2023,06/30/2025
ND,PSI_03,Pressure ulcer rate,0,8,0,0,,07/01/2022,06/30/2024
ND,PSI_04,Death rate among surgical inpatients with serious treatable complications,0,6,0,1,,07/01/2022,06/30/2024
ND,PSI_06,Iatrogenic pneumothorax rate,0,8,0,0,,07/01/2022,06/30/2024
ND,PSI_08,In-hospital fall-associated fracture rate,0,8,0,0,,07/01/2022,06/30/2024
ND,PSI_09,Postoperative hemorrhage or hematoma rate,0,7,0,0,,07/01/2022,06/30/2024
ND,PSI_10,Postoperative acute kidney injury requiring dialysis rate,0,7,0,0,,07/01/2022,06/30/2024
ND,PSI_11,Postoperative respiratory failure rate,0,7,0,0,,07/01/2022,06/30/2024
ND,PSI_12,Perioperative pulmonary embolism or deep vein thrombosis rate,0,7,0,0,,07/01/2022,06/30/2024
ND,PSI_13,Postoperative sepsis rate,0,7,0,0,,07/01/2022,06/30/2024
ND,PSI_14,Postoperative wound dehiscence rate,0,7,0,0,,07/01/2022,06/30/2024
ND,PSI_15,Abdominopelvic accidental puncture or laceration rate,1,6,0,0,,07/01/2022,06/30/2024
ND,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,0,7,0,Not Available,,07/01/2022,06/30/2024
NE,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,0,15,0,27,,04/01/2023,03/31/2025
NE,Hybrid_HWM,Hybrid Hospital-Wide All-Cause Risk Standardized Mortality Rate,10,67,3,8,,07/01/2024,06/30/2025
NE,MORT_30_AMI,Death rate for heart attack patients,0,19,0,45,,07/01/2022,06/30/2025
NE,MORT_30_CABG,Death rate for CABG surgery patients,0,8,0,2,,07/01/2022,06/30/2025
NE,MORT_30_COPD,Death rate for COPD patients,0,25,0,56,,07/01/2022,06/30/2025
NE,MORT_30_HF,Death rate for heart failure patients,2,32,0,49,,07/01/2022,06/30/2025
NE,MORT_30_PN,Death rate for pneumonia patients,2,60,0,22,,07/01/2022,06/30/2025
NE,MORT_30_STK,Death rate for stroke patients,0,18,1,54,,07/01/2023,06/30/2025
NE,PSI_03,Pressure ulcer rate,1,23,1,0,,07/01/2022,06/30/2024
NE,PSI_04,Death rate among surgical inpatients with serious treatable complications,1,11,0,9,,07/01/2022,06/30/2024
NE,PSI_06,Iatrogenic pneumothorax rate,1,24,0,0,,07/01/2022,06/30/2024
NE,PSI_08,In-hospital fall-associated fracture rate,0,25,0,0,,07/01/2022,06/30/2024
NE,PSI_09,Postoperative hemorrhage or hematoma rate,1,24,0,0,,07/01/2022,06/30/2024
NE,PSI_10,Postoperative acute kidney injury requiring dialysis rate,0,24,0,1,,07/01/2022,06/30/2024
NE,PSI_11,Postoperative respiratory failure rate,0,23,1,1,,07/01/2022,06/30/2024
NE,PSI_12,Perioperative pulmonary embolism or deep vein thrombosis rate,0,25,0,0,,07/01/2022,06/30/2024
NE,PSI_13,Postoperative sepsis rate,0,23,1,1,,07/01/2022,06/30/2024
NE,PSI_14,Postoperative wound dehiscence rate,0,22,0,2,,07/01/2022,06/30/2024
NE,PSI_15,Abdominopelvic accidental puncture or laceration rate,0,24,0,1,,07/01/2022,06/30/2024
NE,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,0,24,1,Not Available,,07/01/2022,06/30/2024
NH,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,0,10,0,8,,04/01/2023,03/31/2025
NH,Hybrid_HWM,Hybrid Hospital-Wide All-Cause Risk Standardized Mortality Rate,3,21,2,0,,07/01/2024,06/30/2025
NH,MORT_30_AMI,Death rate for heart attack patients,0,12,0,13,,07/01/2022,06/30/2025
NH,MORT_30_CABG,Death rate for CABG surgery patients,0,4,0,0,,07/01/2022,06/30/2025
NH,MORT_30_COPD,Death rate for COPD patients,0,21,0,5,,07/01/2022,06/30/2025
NH,MORT_30_HF,Death rate for heart failure patients,0,22,0,4,,07/01/2022,06/30/2025
NH,MORT_30_PN,Death rate for pneumonia patients,0,25,0,1,,07/01/2022,06/30/2025
NH,MORT_30_STK,Death rate for stroke patients,0,14,0,11,,07/01/2023,06/30/2025
NH,PSI_03,Pressure ulcer rate,1,12,0,0,,07/01/2022,06/30/2024
NH,PSI_04,Death rate among surgical inpatients with serious treatable complications,1,7,0,5,,07/01/2022,06/30/2024
NH,PSI_06,Iatrogenic pneumothorax rate,0,13,0,0,,07/01/2022,06/30/2024
NH,PSI_08,In-hospital fall-associated fracture rate,0,13,0,0,,07/01/2022,06/30/2024
NH,PSI_09,Postoperative hemorrhage or hematoma rate,1,12,0,0,,07/01/2022,06/30/2024
NH,PSI_10,Postoperative acute kidney injury requiring dialysis rate,0,12,0,1,,07/01/2022,06/30/2024
NH,PSI_11,Postoperative respiratory failure rate,1,11,0,1,,07/01/2022,06/30/2024
NH,PSI_12,Perioperative pulmonary embolism or deep vein thrombosis rate,0,13,0,0,,07/01/2022,06/30/2024
