state,measure_id,measure_name,number_of_hospitals_worse,number_of_hospitals_same,number_of_hospitals_better,number_of_hospitals_too_few,footnote,start_date,end_date
GA,PSI_04,Death rate among surgical inpatients with serious treatable complications,3,47,0,26,,07/01/2022,06/30/2024
GA,PSI_06,Iatrogenic pneumothorax rate,0,100,0,1,,07/01/2022,06/30/2024
GA,PSI_08,In-hospital fall-associated fracture rate,0,100,0,1,,07/01/2022,06/30/2024
GA,PSI_09,Postoperative hemorrhage or hematoma rate,1,83,0,8,,07/01/2022,06/30/2024
GA,PSI_10,Postoperative acute kidney injury requiring dialysis rate,1,66,0,17,,07/01/2022,06/30/2024
GA,PSI_11,Postoperative respiratory failure rate,4,65,0,15,,07/01/2022,06/30/2024
GA,PSI_12,Perioperative pulmonary embolism or deep vein thrombosis rate,1,84,0,6,,07/01/2022,06/30/2024
GA,PSI_13,Postoperative sepsis rate,2,64,0,17,,07/01/2022,06/30/2024
GA,PSI_14,Postoperative wound dehiscence rate,0,71,0,15,,07/01/2022,06/30/2024
GA,PSI_15,Abdominopelvic accidental puncture or laceration rate,2,77,0,14,,07/01/2022,06/30/2024
GA,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,9,80,0,Not Available,,07/01/2022,06/30/2024
GU,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,Not Available,Not Available,Not Available,Not Available,5.0,04/01/2023,03/31/2025
GU,Hybrid_HWM,Hybrid Hospital-Wide All-Cause Risk Standardized Mortality Rate,Not Available,Not Available,Not Available,Not Available,5.0,07/01/2024,06/30/2025
GU,MORT_30_AMI,Death rate for heart attack patients,Not Available,Not Available,Not Available,Not Available,5.0,07/01/2022,06/30/2025
GU,MORT_30_CABG,Death rate for CABG surgery patients,Not Available,Not Available,Not Available,Not Available,5.0,07/01/2022,06/30/2025
GU,MORT_30_COPD,Death rate for COPD patients,Not Available,Not Available,Not Available,Not Available,5.0,07/01/2022,06/30/2025
GU,MORT_30_HF,Death rate for heart failure patients,Not Available,Not Available,Not Available,Not Available,5.0,07/01/2022,06/30/2025
GU,MORT_30_PN,Death rate for pneumonia patients,Not Available,Not Available,Not Available,Not Available,5.0,07/01/2022,06/30/2025
GU,MORT_30_STK,Death rate for stroke patients,Not Available,Not Available,Not Available,Not Available,5.0,07/01/2023,06/30/2025
GU,PSI_03,Pressure ulcer rate,Not Available,Not Available,Not Available,Not Available,5.0,07/01/2022,06/30/2024
GU,PSI_04,Death rate among surgical inpatients with serious treatable complications,Not Available,Not Available,Not Available,Not Available,5.0,07/01/2022,06/30/2024
GU,PSI_06,Iatrogenic pneumothorax rate,Not Available,Not Available,Not Available,Not Available,5.0,07/01/2022,06/30/2024
GU,PSI_08,In-hospital fall-associated fracture rate,Not Available,Not Available,Not Available,Not Available,5.0,07/01/2022,06/30/2024
