facility_id,facility_name,hospital_type,address,city_town,state,zip_code,county_parish,measure_id,measure_description,total_cases,performance_category,rate,interval_lower_limit,interval_upper_limit,footnote,start_date,end_date
330354,ROSWELL PARK CANCER INSTITUTE,Acute Care Hospitals,ELM AND CARLTON STREETS,BUFFALO,NY,14203,ERIE,PCH-37,Surgical treatment complications for localized prostate cancer,Not Available,Not Applicable,Not Available,Not Applicable,Not Applicable,1.0,07/01/2023,06/30/2024
360242,JAMES CANCER HOSPITAL & SOLOVE RESEARCH INSTITUTE,Acute Care Hospitals,460 WEST TENTH AVENUE,COLUMBUS,OH,43210,FRANKLIN,PCH-30,Admissions for Patients Receiving Outpatient Chemotherapy,1987,No Different than the National Rate,12.4,10.2,13.4,,07/01/2024,06/30/2025
360242,JAMES CANCER HOSPITAL & SOLOVE RESEARCH INSTITUTE,Acute Care Hospitals,460 WEST TENTH AVENUE,COLUMBUS,OH,43210,FRANKLIN,PCH-31,Emergency Department (ED) Visits for Patients Receiving Outpatient Chemotherapy,1987,No Different than the National Rate,6.8,3.5,5.8,,07/01/2024,06/30/2025
360242,JAMES CANCER HOSPITAL & SOLOVE RESEARCH INSTITUTE,Acute Care Hospitals,460 WEST TENTH AVENUE,COLUMBUS,OH,43210,FRANKLIN,PCH-36,30-Day Unplanned Readmission for Cancer Patients,2197,Worse than the National Rate,24.2,22.5,25.9,,10/01/2023,09/30/2024
360242,JAMES CANCER HOSPITAL & SOLOVE RESEARCH INSTITUTE,Acute Care Hospitals,460 WEST TENTH AVENUE,COLUMBUS,OH,43210,FRANKLIN,PCH-37,Surgical treatment complications for localized prostate cancer,Not Available,Not Applicable,Not Available,Not Applicable,Not Applicable,1.0,07/01/2023,06/30/2024
390196,HOSPITAL OF THE FOX CHASE CANCER CENTER,Acute Care Hospitals,333 COTTMAN AVENUE,PHILADELPHIA,PA,19111,PHILADELPHIA,PCH-30,Admissions for Patients Receiving Outpatient Chemotherapy,328,No Different than the National Rate,11.0,10.7,16.7,,07/01/2024,06/30/2025
390196,HOSPITAL OF THE FOX CHASE CANCER CENTER,Acute Care Hospitals,333 COTTMAN AVENUE,PHILADELPHIA,PA,19111,PHILADELPHIA,PCH-31,Emergency Department (ED) Visits for Patients Receiving Outpatient Chemotherapy,328,No Different than the National Rate,5.3,4.3,7.9,,07/01/2024,06/30/2025
390196,HOSPITAL OF THE FOX CHASE CANCER CENTER,Acute Care Hospitals,333 COTTMAN AVENUE,PHILADELPHIA,PA,19111,PHILADELPHIA,PCH-36,30-Day Unplanned Readmission for Cancer Patients,621,No Different than the National Rate,25.1,21.7,28.6,,10/01/2023,09/30/2024
390196,HOSPITAL OF THE FOX CHASE CANCER CENTER,Acute Care Hospitals,333 COTTMAN AVENUE,PHILADELPHIA,PA,19111,PHILADELPHIA,PCH-37,Surgical treatment complications for localized prostate cancer,34,Not Applicable,48.7,Not Applicable,Not Applicable,,07/01/2023,06/30/2024
450076,"UNIVERSITY OF TEXAS M D ANDERSON CANCER CENTER,THE",Acute Care Hospitals,1515 HOLCOMBE BLVD,HOUSTON,TX,77030,HARRIS,PCH-30,Admissions for Patients Receiving Outpatient Chemotherapy,5549,No Different than the National Rate,12.6,10.4,13.0,,07/01/2024,06/30/2025
450076,"UNIVERSITY OF TEXAS M D ANDERSON CANCER CENTER,THE",Acute Care Hospitals,1515 HOLCOMBE BLVD,HOUSTON,TX,77030,HARRIS,PCH-31,Emergency Department (ED) Visits for Patients Receiving Outpatient Chemotherapy,5549,No Different than the National Rate,6.5,4.0,5.8,,07/01/2024,06/30/2025
450076,"UNIVERSITY OF TEXAS M D ANDERSON CANCER CENTER,THE",Acute Care Hospitals,1515 HOLCOMBE BLVD,HOUSTON,TX,77030,HARRIS,PCH-36,30-Day Unplanned Readmission for Cancer Patients,6098,No Different than the National Rate,21.5,20.5,22.5,,10/01/2023,09/30/2024
450076,"UNIVERSITY OF TEXAS M D ANDERSON CANCER CENTER,THE",Acute Care Hospitals,1515 HOLCOMBE BLVD,HOUSTON,TX,77030,HARRIS,PCH-37,Surgical treatment complications for localized prostate cancer,85,Not Applicable,52.0,Not Applicable,Not Applicable,,07/01/2023,06/30/2024
500138,FRED HUTCHINSON CANCER INSTITUTE,Acute Care Hospitals,825 EASTLAKE AVENUE EAST,SEATTLE,WA,98109,KING,PCH-30,Admissions for Patients Receiving Outpatient Chemotherapy,2174,No Different than the National Rate,11.2,10.8,14.7,,07/01/2024,06/30/2025
500138,FRED HUTCHINSON CANCER INSTITUTE,Acute Care Hospitals,825 EASTLAKE AVENUE EAST,SEATTLE,WA,98109,KING,PCH-31,Emergency Department (ED) Visits for Patients Receiving Outpatient Chemotherapy,2174,No Different than the National Rate,6.7,3.7,5.9,,07/01/2024,06/30/2025
500138,FRED HUTCHINSON CANCER INSTITUTE,Acute Care Hospitals,825 EASTLAKE AVENUE EAST,SEATTLE,WA,98109,KING,PCH-36,30-Day Unplanned Readmission for Cancer Patients,102,No Different than the National Rate,20.2,12.6,27.9,,10/01/2023,09/30/2024
500138,FRED HUTCHINSON CANCER INSTITUTE,Acute Care Hospitals,825 EASTLAKE AVENUE EAST,SEATTLE,WA,98109,KING,PCH-37,Surgical treatment complications for localized prostate cancer,Not Available,Not Applicable,Not Available,Not Applicable,Not Applicable,5.0,07/01/2023,06/30/2024
